# T (K), alpha_33 (Neper/m)
2.436799999999999855e+00,-2.972708891354614025e-01
2.436700000000000088e+00,-5.345406110607200389e-01
2.436399999999999899e+00,-6.244906321144299000e-01
2.436199999999999921e+00,-2.492589204782689194e-01
2.435999999999999943e+00,-1.016112327552036732e-01
2.435799999999999965e+00,1.114218049938244803e-01
2.435599999999999987e+00,3.362851987849353463e-01
2.435500000000000220e+00,3.627972507174490602e-01
2.435400000000000009e+00,1.375370387943348760e-01
2.435299999999999798e+00,-8.250453287973869010e-02
2.435000000000000053e+00,-6.053425843572313170e-01
2.434899999999999842e+00,-7.092278679808714514e-01
2.434800000000000075e+00,-2.569247033191004448e-01
2.434600000000000097e+00,3.010179395578234107e-01
2.434400000000000119e+00,6.903495069150267227e-01
2.434200000000000141e+00,1.217863850996309338e+00
2.434099999999999930e+00,1.272503723322870428e+00
2.434000000000000163e+00,1.071407776793876110e+00
2.433699999999999974e+00,6.782790734921491094e-01
2.433499999999999996e+00,5.536863801326035173e-01
2.433100000000000041e+00,3.330981636211163277e-01
2.432700000000000085e+00,1.875191499968877906e-01
2.432599999999999874e+00,-3.281658628932291322e-01
2.432399999999999896e+00,-4.899385453179547767e-01
2.432199999999999918e+00,-4.806644491595761792e-01
2.432100000000000151e+00,-3.969579087313377386e-01
2.431999999999999940e+00,-4.476662524486982875e-01
2.431900000000000173e+00,-1.802741508442977647e-01
2.431700000000000195e+00,-1.078067653322705155e-01
2.431400000000000006e+00,-1.541979549895131640e-01
2.431200000000000028e+00,2.016448533418042643e-01
2.430899999999999839e+00,5.809646226955464954e-01
2.430800000000000072e+00,8.547942609084202559e-01
2.430699999999999861e+00,1.467410090567909720e+00
2.430499999999999883e+00,1.562442631113754032e+00
2.430299999999999905e+00,1.717611991546618810e+00
2.430099999999999927e+00,1.518314786816517881e+00
2.430000000000000160e+00,1.621927239701562939e+00
2.429899999999999949e+00,1.237630067139434686e+00
2.429699999999999971e+00,1.091057251559050201e+00
2.429600000000000204e+00,5.663045467365463992e-01
2.429300000000000015e+00,3.685654883995539421e-01
2.429199999999999804e+00,-3.180898827245073335e-01
2.428999999999999826e+00,-5.923258653817811137e-01
2.428799999999999848e+00,-4.295248701214404718e-01
2.428500000000000103e+00,-3.461896321712174540e-01
