# T (K), alpha_33 (Neper/m)
4.672999999999999932e-01,1.378076491728620567e+01
4.676000000000000156e-01,1.372075587114977679e+01
4.680000000000000271e-01,1.388483585673111520e+01
4.682999999999999940e-01,1.423845850576844896e+01
4.688999999999999835e-01,1.430708088545793544e+01
4.692999999999999949e-01,1.433169814912798756e+01
4.696000000000000174e-01,1.422782455564220072e+01
4.698999999999999844e-01,1.403331747760739745e+01
4.706000000000000183e-01,1.380666687209827614e+01
4.708999999999999853e-01,1.405489559204511352e+01
4.712000000000000077e-01,1.413681737449678621e+01
4.716000000000000192e-01,1.419329044881942536e+01
4.722999999999999976e-01,1.416052402804803023e+01
4.726000000000000201e-01,1.399215661060725324e+01
4.729999999999999760e-01,1.390069082510854059e+01
4.732999999999999985e-01,1.388511884845070199e+01
4.738999999999999879e-01,1.388690022218247577e+01
4.742999999999999994e-01,1.391965626114256338e+01
4.746000000000000218e-01,1.412725371849001021e+01
4.748999999999999888e-01,1.424231652349430988e+01
4.756000000000000227e-01,1.429442475153337000e+01
4.758999999999999897e-01,1.438168616935809041e+01
4.763000000000000012e-01,1.429384811733120841e+01
4.768999999999999906e-01,1.442466413274610204e+01
4.773000000000000020e-01,1.454710474577927926e+01
4.776000000000000245e-01,1.455527394069554248e+01
4.778999999999999915e-01,1.466489024738984881e+01
4.784999999999999809e-01,1.470724643141238630e+01
4.788999999999999924e-01,1.453880938579527538e+01
4.792000000000000148e-01,1.449014679374363368e+01
4.794999999999999818e-01,1.439256134231777651e+01
4.802000000000000157e-01,1.446111790928262053e+01
4.804999999999999827e-01,1.492584617107377198e+01
4.808999999999999941e-01,1.523353070304005996e+01
4.812000000000000166e-01,1.481478812054001537e+01
